model,term,coef,std_err,p_value,ci_lower,ci_upper
ardl,const,0.06206933389642251,0.07059944364723698,0.3820413354982199,,
ardl,gdp_growth.L1,1.476526064545761,0.10013549869214784,3.941441496978773e-24,,
ardl,gdp_growth.L2,-0.36337886420086174,0.18466297863855588,0.052692440319532075,,
ardl,gdp_growth.L3,-0.21032064563780062,0.16537263135422994,0.20727261296923152,,
ardl,gdp_growth.L4,0.06926491869071935,0.0865451579137562,0.4259804804854463,,
ardl,q_2.L0,0.012757633173831717,0.020990349131141083,0.5451180936898467,,
ardl,q_2.L1,0.013227571308836006,0.019851005157750422,0.5071837105409416,,
ardl,q_2.L2,0.013756224390138794,0.019178812096699582,0.47538300336535044,,
ardl,q_2.L3,0.02232790494882253,0.02589878580411476,0.39129760205040953,,
ardl,q_2.L4,0.012757633288241754,0.020990349127752175,0.5451180900283285,,
ardl,q_3.L0,0.013227571312707465,0.019851005155132505,0.5071837103611463,,
ardl,q_3.L1,0.013756224402099226,0.0191788120927252,0.4753830028916468,,
ardl,q_3.L2,0.022327904922660124,0.02589878580296332,0.39129760258180946,,
ardl,q_3.L3,0.01275763322388046,0.020990349128869188,0.5451180920730295,,
ardl,q_3.L4,0.013227571321306919,0.019851005154342505,0.5071837100689774,,
ardl,q_4.L0,0.01375622439367774,0.019178812092639993,0.47538300315903653,,
ardl,q_4.L1,0.02232790494795822,0.02589878580235435,0.3912976020366149,,
ardl,q_4.L2,0.01275763325393775,0.02099034912588173,0.5451180910710215,,
ardl,q_4.L3,0.013227571361020263,0.01985100515400392,0.507183708790313,,
ardl,q_4.L4,0.013756224409632534,0.01917881209199648,0.47538300263399186,,
ardl,freshwater_withdraw_roll4_std.L0,-1.4910793130031013,2.555001337151298,0.5612001994234468,,
ardl,freshwater_withdraw_roll4_std.L1,0.8191038173224201,3.553539611908214,0.8183117538491651,,
ardl,freshwater_withdraw_roll4_std.L2,0.5736070965657545,1.7809349080762062,0.7482633754469683,,
ardl,freshwater_withdraw_roll4_std.L3,-0.727283713028362,1.9188376310901003,0.7057139049954868,,
ardl,freshwater_withdraw_roll4_std.L4,1.1575405589950711,1.3979005303971384,0.4101977235889603,,
ardl,population_density_roll4_std.L0,0.24982535945164747,0.1459154405225047,0.09089867735989816,,
ardl,population_density_roll4_std.L1,-0.027118832224637957,0.170061948058297,0.8737205265715359,,
ardl,population_density_roll4_std.L2,-0.08120542371179212,0.2719516352405685,0.766047753360133,,
ardl,population_density_roll4_std.L3,-0.3979317364926036,0.2969498655196617,0.18416574896036844,,
ardl,population_density_roll4_std.L4,-0.4422339439868581,0.2694542061577945,0.10483019561534342,,
ardl,inflation_roll4_std.L0,-0.0560138648481866,0.10956051202779415,0.6106322269883713,,
ardl,inflation_roll4_std.L1,0.058919012567167584,0.19892661104299017,0.7678864193999395,,
ardl,inflation_roll4_std.L2,0.04828119155089827,0.22851296462749485,0.8332236683835096,,
ardl,inflation_roll4_std.L3,-0.026892693700369175,0.20148535429853895,0.8941681689057982,,
ardl,inflation_roll4_std.L4,0.043483161349435084,0.10104969533302874,0.6681688196760169,,
ardl,imports_roll4_std.L0,0.21099567455502002,0.053029691676172934,0.00015541989733649852,,
