date,actual,ardl_fitted,ardl_resid,glsar_fitted,glsar_resid,ridge_fitted,ridge_resid,sarimax_pred
1972-03-31,3.80585566810947,,,6.1567121233315545,-2.3508564552220843,3.815270324037985,-0.009414655928514648,0.19196982489057124
1972-06-30,3.80585566810947,,,6.151879279768617,-2.346023611659147,4.304703049510805,-0.498847381401335,4.478510462708347
1972-09-30,3.80585566810947,,,6.154385919031862,-2.3485302509223915,3.9663882056428843,-0.16053253753341412,3.6132467654374416
1972-12-31,3.80585566810947,,,6.157737224137722,-2.3518815560282516,4.071719343682123,-0.26586367557265245,2.6232081358064585
1973-03-31,3.80585566810947,3.8231089158468543,-0.017253247737384125,6.156606316794533,-2.3507506486850627,3.814411952967626,-0.008556284858155738,3.4339757156221724
1973-06-30,3.80585566810947,3.807227732478166,-0.0013720643686956357,6.151758661490438,-2.3459029933809674,4.303887715408281,-0.49803204729881045,4.4936753180179885
1973-09-30,3.80585566810947,3.8070951886268594,-0.001239520517389181,6.154399829195449,-2.3485441610859787,3.969003823143593,-0.16314815503412294,3.938597391911807
1973-12-31,3.80585566810947,3.807920885756883,-0.0020652176474129647,6.15761422904392,-2.3517585609344502,4.070810919585958,-0.26495525147648813,3.493416457018729
1974-03-31,3.80585566810947,3.8206675901158156,-0.014811922006345402,6.156623512687564,-2.350767844578094,3.813082280325289,-0.007226612215818662,3.4399051875728106
1974-06-30,3.80585566810947,3.80385918277834,0.00199648533113006,6.151763954295316,-2.3459082861858462,4.302592628356997,-0.4967369602475271,4.494282768083092
1974-09-30,3.80585566810947,3.8040731775624663,0.0017824905470038566,6.154086360985801,-2.3482306928763306,3.9616427357779784,-0.15578706766850825,3.9401387766898988
1974-12-31,3.80585566810947,3.807922974812644,-0.002067306703173788,6.157319024952335,-2.3514633568428644,4.063304854032261,-0.2574491859227912,3.4975947997763415
1975-03-31,3.80585566810947,3.82445873820422,-0.018603070094749707,6.15597948548398,-2.3501238173745103,3.8064978445639817,-0.0006421764545114783,3.426525236513617
1975-06-30,3.80585566810947,3.8067327095329673,-0.0008770414234970936,6.151035792449468,-2.345180124339998,4.296252654057512,-0.49039698594804193,4.485759725008669
1975-09-30,3.80585566810947,3.8050725093042823,0.0007831588051878668,6.152917934786468,-2.347062266676998,3.9413949719747055,-0.13553930386523527,3.950772852133877
1975-12-31,3.80585566810947,3.801063984241844,0.004791683867626073,6.156475272753933,-2.3506196046444625,4.0418510209288865,-0.2359953528194163,3.508651481904334
1976-03-31,3.80585566810947,3.814043158019574,-0.008187489910103984,6.154426866838212,-2.3485711987287416,3.7868409953859685,0.019014672723501658,3.401865932783508
1976-06-30,3.80585566810947,3.7968682833561136,0.008987384753356586,6.149441296528335,-2.3435856284188645,4.276717483413769,-0.47086181530429894,4.47810898111511
1976-09-30,3.80585566810947,3.80107816716659,0.0047775009428803195,6.150512790381854,-2.344657122272384,3.8970246760059193,-0.0911690078964491,3.9766363772043753
1976-12-31,3.80585566810947,3.7864054333516246,0.019450234757845575,6.154909558423977,-2.349053890314507,3.9993181188605744,-0.19346245075110424,3.5281087125231503
1977-03-31,3.80585566810947,3.7744436464872466,0.03141202162222356,6.153464220220621,-2.3476085521111507,3.742038433642931,0.06381723446653931,3.4363448095999827
1977-06-30,3.80585566810947,3.762222569123184,0.04363309898628609,6.148514793426975,-2.342659125317505,4.231809903136451,-0.42595423502698093,4.501206538048436
1977-09-30,3.80585566810947,3.78902117003691,0.016834498072560322,6.150367727982662,-2.3445120598731917,3.876615127671409,-0.07075945956193896,3.9726297976471874
1977-12-31,3.80585566810947,3.800994907867114,0.004860760242356044,6.15389899634664,-2.3480433282371695,3.976344816411965,-0.17048914830249462,3.511873558669781
1978-03-31,3.80585566810947,3.8017141852318277,0.004141482877642488,6.152907411358539,-2.347051743249069,3.7174619859201217,0.08839368218934851,3.4502159823753566
1978-06-30,3.80585566810947,3.7838270014408937,0.022028666668576502,6.148062139965624,-2.342206471856154,4.206930821672837,-0.401075153563367,4.506483780389188
1978-09-30,3.80585566810947,3.7944290838041064,0.011426584305363807,6.1504107542387,-2.3445550861292297,3.867586201921215,-0.06173053381174487,3.951142412919263
1978-12-31,3.80585566810947,3.805569197890774,0.0002864702186959889,6.153581237393431,-2.347725569283961,3.968265255182793,-0.16240958707332265,3.503652469559153
