model,term,coef,std_err,p_value,ci_lower,ci_upper
ardl,const,0.23363313564136814,0.17344907657530043,0.18288827545222622,,
ardl,gdp_growth.L1,1.438888244670556,0.09974770627434035,1.76226343467768e-21,,
ardl,gdp_growth.L2,-0.45450593420304086,0.18287150630365176,0.01565228299672393,,
ardl,gdp_growth.L3,-0.08680663594017024,0.19873616240544562,0.6637787100383731,,
ardl,gdp_growth.L4,-0.07167994621215945,0.12435620177241175,0.5664260144362243,,
ardl,population_density.L0,-9.398170395513953,7.124102479227498,0.1919511180391964,,
ardl,population_density.L1,2.6305339257653912,9.039898111022326,0.7720290329960826,,
ardl,population_density.L2,-7.077313202605254,9.356509573889722,0.45227091693846483,,
ardl,population_density.L3,9.256990525611322,9.52763002682218,0.3350277953377795,,
ardl,population_density.L4,7.043928735920463,7.294718514241548,0.3379856917222161,,
ardl,q_2.L0,0.0569533686530011,0.05465733346079904,0.30145427211910386,,
ardl,q_2.L1,0.04949986882985469,0.05309838650672859,0.3548342093771798,,
ardl,q_2.L2,0.05011252971330005,0.05025891726749268,0.322597788380942,,
ardl,q_2.L3,0.07706736846060547,0.07096863389673204,0.2817116856235651,,
ardl,q_2.L4,0.05695336867115863,0.05465733346116084,0.3014542719694864,,
ardl,q_3.L0,0.049499868831689775,0.05309838650676006,0.35483420935974813,,
ardl,q_3.L1,0.050112529723619514,0.0502589172679376,0.3225977882863351,,
ardl,q_3.L2,0.07706736847324558,0.07096863389621691,0.28171168554192155,,
ardl,q_3.L3,0.0569533686516675,0.05465733346196654,0.30145427214056236,,
ardl,q_3.L4,0.04949986881966906,0.05309838650708455,0.35483420947870975,,
ardl,q_4.L0,0.05011252968983132,0.05025891726749512,0.32259778860578775,,
ardl,q_4.L1,0.07706736845301321,0.07096863389676115,0.2817116856707213,,
ardl,q_4.L2,0.05695336865827372,0.054657333460562736,0.3014542720726644,,
ardl,q_4.L3,0.049499868817511616,0.05309838650676999,0.35483420949670563,,
ardl,q_4.L4,0.0501125297079012,0.05025891726772611,0.32259778843489095,,
ardl,renewable_energy_roll4_std.L0,-0.9480020321246485,1.816506138553617,0.603611973049735,,
ardl,renewable_energy_roll4_std.L1,-0.956869171799906,2.4205851896238366,0.693974745432647,,
ardl,renewable_energy_roll4_std.L2,0.9717202349209186,2.608923322929821,0.7108203887994656,,
ardl,renewable_energy_roll4_std.L3,0.36804417434487013,1.1624364376593639,0.7525997651572487,,
ardl,renewable_energy_roll4_std.L4,0.7270988855653235,1.079885975728652,0.5032518110778862,,
ardl,freshwater_withdraw_roll4_std.L0,1.447493431636362,5.478863364997191,0.7925051763013102,,
ardl,freshwater_withdraw_roll4_std.L1,0.9667620888679753,7.13036327747062,0.8925895239820582,,
ardl,freshwater_withdraw_roll4_std.L2,0.8523953055488764,3.5043659540616687,0.808623933556301,,
ardl,freshwater_withdraw_roll4_std.L3,-0.17722872808343482,3.5977276346821476,0.960869415204418,,
ardl,freshwater_withdraw_roll4_std.L4,-0.4604367688354616,2.497576353043334,0.8543378718245248,,
ardl,population_density_roll4_std.L0,-38.78166807232324,14.737953852588868,0.010714909795746498,,
ardl,population_density_roll4_std.L1,11.148780608506206,17.643018384136806,0.5297696610221537,,
ardl,population_density_roll4_std.L2,0.3500826149196836,8.582297162065672,0.96759339171967,,
ardl,population_density_roll4_std.L3,-9.240989900246191,9.018567219808547,0.30950371095569634,,
ardl,population_density_roll4_std.L4,11.022710279078638,6.71969355707027,0.10599481588987554,,
ardl,inflation_roll4_std.L0,0.8563466285537147,0.36333377313488346,0.02160031156652797,,
ardl,inflation_roll4_std.L1,-0.2091716526159959,0.4934328374697884,0.6730978267776907,,
ardl,inflation_roll4_std.L2,-0.6434110129404873,0.501300140383831,0.20409886206527822,,
ardl,inflation_roll4_std.L3,0.3187785667014957,0.24380551484390922,0.19586693111234543,,
ardl,inflation_roll4_std.L4,-0.35442747218236537,0.24657710450474365,0.15563515414922807,,
ardl,policy_rate_roll4_std.L0,-0.8245452773841614,0.5132414499481407,0.11323588630408649,,
ardl,policy_rate_roll4_std.L1,0.3230440743444365,0.3118467716568433,0.304269355277788,,
ardl,policy_rate_roll4_std.L2,0.08333767584540186,0.2098239258230903,0.6925994249167217,,
ardl,policy_rate_roll4_std.L3,-0.1529280711381435,0.16205742493743436,0.34900328071059844,,
ardl,policy_rate_roll4_std.L4,0.20163863477820765,0.16726968303214496,0.23260246993841094,,
ardl,renewable_energy_lag2.L0,0.025918778616954574,0.79335902871037,0.9740429568300981,,
ardl,renewable_energy_lag2.L1,-0.36025726441867834,0.9397173024220529,0.7027585569718356,,
ardl,renewable_energy_lag2.L2,1.7879439554347591,2.3073095190454955,0.44134164880107535,,
ardl,renewable_energy_lag2.L3,-0.5967296972715981,2.1876414116516023,0.7859341282145242,,
ardl,renewable_energy_lag2.L4,0.6094706334457727,2.967683895121485,0.8379565433488569,,
ardl,inflation_lag1.L0,0.16380540545072242,0.17435813336434597,0.3511318583704617,,
ardl,inflation_lag1.L1,-0.04603980683010889,0.26955507329541595,0.8649377922177075,,
ardl,inflation_lag1.L2,0.08926225531522447,0.2755611085233401,0.7470819652596099,,
ardl,inflation_lag1.L3,-0.013916524798799346,0.2541564570410787,0.9565091263967335,,
ardl,inflation_lag1.L4,-0.1941671956099924,0.20722276698098824,0.3523955725792326,,
ardl,imports_lag2.L0,0.15358417168137506,0.46229280818086477,0.7408416840116652,,
ardl,imports_lag2.L1,-0.6125651000579916,0.5697007800739027,0.28643387840475143,,
ardl,imports_lag2.L2,-1.1313513698895488,1.1713417763523097,0.33786704660853933,,
ardl,imports_lag2.L3,2.000615849105847,1.156847961386791,0.08871959647355672,,
ardl,imports_lag2.L4,0.8694579645656724,1.4311807116678243,0.5457306168288019,,
ardl,policy_rate_lag2.L0,0.10805761481559584,0.21204415243457156,0.6121411854896711,,
ardl,policy_rate_lag2.L1,-0.00020618489138368723,0.25302554637011254,0.999352437981532,,
ardl,policy_rate_lag2.L2,-0.6137833020523846,0.6498013010170129,0.348544640929134,,
ardl,policy_rate_lag2.L3,0.6685986637437242,0.6007440995127019,0.27002606881839286,,
ardl,policy_rate_lag2.L4,0.15467594691029496,0.8527413426085836,0.8566557389300209,,
ardl,renewable_energy_roll4_mean_lag4.L0,-2.6420431544577196,7.877742582714017,0.7384700853132513,,
ardl,renewable_energy_roll4_mean_lag4.L1,1.8179243028141636,6.2733059902970245,0.7729459206030332,,
ardl,renewable_energy_roll4_mean_lag4.L2,-1.5647811812589962,6.682897737370913,0.8156422520922473,,
ardl,renewable_energy_roll4_mean_lag4.L3,1.4705375170674513,7.01549944404417,0.8346572505905195,,
ardl,renewable_energy_roll4_mean_lag4.L4,-1.3630109082115234,3.4809472430121606,0.6967235439605619,,
ardl,renewable_energy_roll4_std_lag3.L0,0.3680441743381748,1.1624364376592846,0.7525997651615826,,
ardl,renewable_energy_roll4_std_lag3.L1,0.7270988855631826,1.0798859757283232,0.5032518110790091,,
ardl,renewable_energy_roll4_std_lag3.L2,1.3190045687868857,2.487908019169546,0.5978904489239147,,
ardl,renewable_energy_roll4_std_lag3.L3,-0.8940918380421432,2.5850692663549864,0.7306130662750921,,
ardl,renewable_energy_roll4_std_lag3.L4,-0.4201066943993781,2.0306752538858146,0.8367812898531769,,
ardl,forest_area_roll4_mean_lag4.L0,-73.72180796319154,59.873613232883244,0.22286446319092923,,
ardl,forest_area_roll4_mean_lag4.L1,72.60446314415904,112.97613945663001,0.5228187691459751,,
ardl,forest_area_roll4_mean_lag4.L2,-36.035691674833885,118.82257290448625,0.7626970598865225,,
ardl,forest_area_roll4_mean_lag4.L3,-92.21564791769465,116.3904864924841,0.43120961298232097,,
ardl,forest_area_roll4_mean_lag4.L4,120.1858001832894,64.04209682555549,0.0652714006680366,,
ardl,forest_area_roll4_std_lag1.L0,-54.03735514180315,42.412817984478565,0.20739000801901983,,
ardl,forest_area_roll4_std_lag1.L1,-3.3613021367221307,52.411234338135415,0.9490704676947435,,
ardl,forest_area_roll4_std_lag1.L2,-24.778424819485934,52.79565060504058,0.6404822464682641,,
ardl,forest_area_roll4_std_lag1.L3,-21.45849801235068,25.430849265531652,0.4020262662028927,,
ardl,forest_area_roll4_std_lag1.L4,5.0995442651012866,23.75343107019954,0.8307162217260026,,
ardl,forest_area_roll4_std_lag4.L0,-21.458498012350802,25.430849265531712,0.40202626620289117,,
ardl,forest_area_roll4_std_lag4.L1,5.099544265101315,23.753431070199532,0.8307162217260017,,
ardl,forest_area_roll4_std_lag4.L2,-13.173732862134898,48.8074362962639,0.7881240113319016,,
ardl,forest_area_roll4_std_lag4.L3,11.493614640554142,49.40104296307337,0.8167922729214592,,
ardl,forest_area_roll4_std_lag4.L4,-15.94328248277965,40.68399492178731,0.6964899675162054,,
ardl,freshwater_withdraw_roll4_mean_lag4.L0,2.24238652073036,8.557006159462787,0.7941495171403876,,
ardl,freshwater_withdraw_roll4_mean_lag4.L1,-7.322310895503762,17.105759567836497,0.6700899496617074,,
ardl,freshwater_withdraw_roll4_mean_lag4.L2,1.4018660574550168,18.860089871415937,0.9409872954465455,,
ardl,freshwater_withdraw_roll4_mean_lag4.L3,-2.291696193881549,17.90730900568091,0.8985825895362994,,
ardl,freshwater_withdraw_roll4_mean_lag4.L4,6.2759293510052565,9.046807581567204,0.49045033186686604,,
ardl,freshwater_withdraw_roll4_std_lag2.L0,0.8523953055488782,3.504365954061733,0.8086239335563042,,
ardl,freshwater_withdraw_roll4_std_lag2.L1,-0.1772287280850593,3.597727634681655,0.9608694152040543,,
ardl,freshwater_withdraw_roll4_std_lag2.L2,-0.4604367688345965,2.4975763530429718,0.8543378718247745,,
ardl,freshwater_withdraw_roll4_std_lag2.L3,1.5410933711038357,3.3583982679299615,0.6479268251751916,,
ardl,freshwater_withdraw_roll4_std_lag2.L4,-1.4260403629520875,3.2071328694800574,0.6581236133733644,,
ardl,freshwater_withdraw_roll4_std_lag4.L0,-0.4604367688345956,2.4975763530429633,0.8543378718247743,,
ardl,freshwater_withdraw_roll4_std_lag4.L1,1.5410933711038677,3.3583982679299615,0.6479268251751849,,
ardl,freshwater_withdraw_roll4_std_lag4.L2,-1.426040362952044,3.2071328694800703,0.6581236133733754,,
ardl,freshwater_withdraw_roll4_std_lag4.L3,-2.700864463662792,6.4270626850272246,0.675768055376816,,
ardl,freshwater_withdraw_roll4_std_lag4.L4,1.235051396620678,4.904818908514357,0.8020256300875943,,
ardl,population_density_roll4_std_lag2.L0,0.350082614920213,8.582297162065657,0.9675933917196211,,
ardl,population_density_roll4_std_lag2.L1,-9.240989900246127,9.01856721980852,0.3095037109556983,,
ardl,population_density_roll4_std_lag2.L2,11.022710279078765,6.7196935570702685,0.10599481588987157,,
ardl,population_density_roll4_std_lag2.L3,-4.345673064086538,8.804917895656388,0.6233674043777087,,
ardl,population_density_roll4_std_lag2.L4,-2.6563941152481796,8.354877322647251,0.7515948505805299,,
ardl,population_density_roll4_std_lag4.L0,11.022710279078765,6.7196935570702685,0.10599481588987157,,
ardl,population_density_roll4_std_lag4.L1,-4.345673064086545,8.80491789565639,0.6233674043777081,,
ardl,population_density_roll4_std_lag4.L2,-2.6563941152481796,8.354877322647251,0.7515948505805299,,
ardl,population_density_roll4_std_lag4.L3,10.915000287948233,17.162977668028237,0.5271419413878844,,
