date,actual,ardl_fitted,ardl_resid,glsar_fitted,glsar_resid,ridge_fitted,ridge_resid,sarimax_pred
1972-03-31,3.780735934224646,,,3.3590972880636554,0.42163864616099067,2.6199815108585445,1.1607544233661016,2.338006938747119
1972-06-30,4.2687494183940515,,,3.4857008607209226,0.783048557673129,3.4712730759760593,0.7974763424179923,5.046584986603467
1972-09-30,4.762125688103781,,,3.729050207244373,1.033075480859408,4.0054512691684625,0.7566744189353187,4.5593476017009404
1972-12-31,5.25550195781351,,,3.83748367189675,1.41801828591676,3.95492533425156,1.30057662356195,4.352089562619723
1973-03-31,5.351710183786469,5.280306803429964,0.07140338035650551,3.692550436520328,1.6591597472661412,3.5176587409367555,1.8340514428497139,5.30447851476295
1973-06-30,5.448987390048018,5.569987316761751,-0.12099992671373361,3.434156700844607,2.0148306892034107,3.614694054968048,1.8342933350799697,5.153815903517612
1973-09-30,5.547333576598153,5.316249948417846,0.2310836281803077,3.224441771839884,2.322891804758269,3.6348533118524884,1.912480264745665,5.217185619142731
1973-12-31,5.64567976314829,5.449153220499552,0.19652654264873792,2.889188097609115,2.756491665539175,3.6655684309839947,1.9801113321642951,4.897146559721792
1974-03-31,4.120307993229568,5.072711599143058,-0.9524036059134895,2.68321866075134,1.4370893324782283,3.5824081311112153,0.5378998621183531,5.199838754314969
1974-06-30,2.577987648089528,3.0300494710379535,-0.45206182294842545,2.4404469557867583,0.13754069230276977,3.6321925796931334,-1.0542049316036053,3.168825438794926
1974-09-30,1.0187187277281682,1.3227546191332482,-0.30403589140508,2.123477661497171,-1.104758933769003,3.6100277475450584,-2.59130901981689,1.398940250684923
1974-12-31,-0.540550192633191,-0.22410823631359977,-0.31644195631959127,1.9498380311022594,-2.4903882237354504,3.5071346321314527,-4.0476848247646435,0.14472467322560362
1975-03-31,-0.45796446623307935,-0.8633903923296444,0.4054259260965651,2.2684356170787257,-2.726400083311805,3.202463682251964,-3.6604281484850434,-0.7579679505443156
1975-06-30,-0.3744611206507442,-0.06030230244213268,-0.3141588182086115,2.465021170811932,-2.839482291462676,2.868152190024194,-3.242613310674938,0.059795520294340765
1975-09-30,-0.2900401558861856,-0.2014682376203381,-0.08857191826584748,2.5570804559681184,-2.847120611854304,1.5571781311690351,-1.8472182870552207,-0.4130521839652208
1975-12-31,-0.205619191121627,0.1076931326603268,-0.3133123237819538,2.6451310163213577,-2.8507502074429847,2.356436371037435,-2.562055562159062,0.1812593676782015
1976-03-31,1.1851524834766398,0.930752158511452,0.25440032496518783,2.996113461031951,-1.8109609775553113,2.7791471669576535,-1.5939946834810137,0.18121649325814415
1976-06-30,2.5759241580749066,2.3446494534185622,0.23127470465634437,3.393186642745465,-0.8172624846705583,2.964820583990985,-0.3888964259160783,2.993173501301651
