model,term,coef,std_err,p_value,ci_lower,ci_upper
ardl,const,0.42741484084722337,0.2864247600408023,0.14070715406778608,,
ardl,gdp_growth.L1,1.4491004155375191,0.09727688085571239,3.7251159998205183e-22,,
ardl,gdp_growth.L2,-0.5211608153681888,0.16896902236106406,0.003045226637229192,,
ardl,gdp_growth.L3,-0.22460220555926977,0.1677604927034502,0.18551553835139006,,
ardl,gdp_growth.L4,0.1370161446504447,0.0961839521538569,0.15930965929158886,,
ardl,renewable_energy.L0,-0.12043249410557211,0.8412693341207148,0.8866314703609122,,
ardl,renewable_energy.L1,0.3157577999198078,1.0994812939598408,0.7749260629123866,,
ardl,renewable_energy.L2,0.04458119213599643,1.0954481608078244,0.9676684149382986,,
ardl,renewable_energy.L3,-0.47170100592540765,1.0545039918997448,0.6562027470632873,,
ardl,renewable_energy.L4,-1.137725648496022,0.836647800441448,0.17879828170294537,,
ardl,q_2.L0,0.11597200528111529,0.1209455254817188,0.34134466067811114,,
ardl,q_2.L1,0.12259592075231884,0.10757869050460785,0.2588395522159774,,
ardl,q_2.L2,0.044385099694763785,0.10069273980044323,0.6608928796421323,,
ardl,q_2.L3,0.1444618151288113,0.1522433758130381,0.34636200947681817,,
ardl,q_2.L4,0.11597200527874629,0.1209455254804676,0.3413446606829429,,
ardl,q_3.L0,0.12259592075323078,0.10757869050480125,0.25883955221331856,,
ardl,q_3.L1,0.044385099691861774,0.10069273980105597,0.660892879664817,,
ardl,q_3.L2,0.14446181512739997,0.15224337581467803,0.3463620094866534,,
ardl,q_3.L3,0.11597200528005547,0.12094552548096373,0.3413446606794988,,
ardl,q_3.L4,0.12259592075480386,0.10757869050459126,0.25883955220635035,,
ardl,q_4.L0,0.04438509969133908,0.10069273980093493,0.6608928796681734,,
ardl,q_4.L1,0.14446181512820222,0.15224337581391845,0.3463620094816055,,
ardl,q_4.L2,0.1159720052784412,0.12094552548099927,0.34134466068631064,,
ardl,q_4.L3,0.12259592075300307,0.10757869050453298,0.25883955221301863,,
ardl,q_4.L4,0.04438509969034876,0.10069273980097765,0.6608928796753901,,
ardl,forest_area_roll4_std.L0,-8.526059743047895,30.36075313910493,0.7797796109080226,,
ardl,forest_area_roll4_std.L1,-24.467793884234936,40.444346524054744,0.5474039378295228,,
ardl,forest_area_roll4_std.L2,10.507400739164567,18.55820653134064,0.5733109525867103,,
ardl,forest_area_roll4_std.L3,-8.096219300802431,19.03012575588671,0.6719874524510768,,
ardl,forest_area_roll4_std.L4,-4.738509647546268,13.53821776186678,0.727517543395628,,
ardl,freshwater_withdraw_roll4_std.L0,1.8371062535077858,4.162875554605722,0.6605259566574752,,
ardl,freshwater_withdraw_roll4_std.L1,-3.4761844849161996,5.345191103430672,0.5178761912382202,,
ardl,freshwater_withdraw_roll4_std.L2,1.0895777417031223,2.653399611972294,0.6827562012539944,,
ardl,freshwater_withdraw_roll4_std.L3,0.8821315939275705,2.7475525888304833,0.7492440458241313,,
ardl,freshwater_withdraw_roll4_std.L4,-0.19793343419485154,2.1208727366612568,0.9259451853638977,,
ardl,imports_roll4_std.L0,0.5860219629515853,0.5618172188850129,0.3009600684724085,,
ardl,imports_roll4_std.L1,0.49220464652787443,0.3817264791337713,0.2020427377104516,,
ardl,imports_roll4_std.L2,-0.3440083216103309,0.4288750754322882,0.4255486914904028,,
ardl,imports_roll4_std.L3,0.22464599964993948,0.2916366794317496,0.4440507834664739,,
ardl,imports_roll4_std.L4,-0.2212431036523672,0.2788821905356204,0.43061643903869723,,
ardl,freshwater_withdraw_lag1.L0,0.9022009472603872,2.2216019545746644,0.6860646181702029,,
ardl,freshwater_withdraw_lag1.L1,1.134785041832376,2.5698802319096283,0.660335803338814,,
ardl,freshwater_withdraw_lag1.L2,0.5780734343966034,2.564755077722207,0.8224161833056147,,
ardl,freshwater_withdraw_lag1.L3,-0.25078171085033807,6.045259770603256,0.9670433328962521,,
ardl,freshwater_withdraw_lag1.L4,2.938921390219915,6.897637316683893,0.6715276825950035,,
ardl,inflation_lag2.L0,-0.03599038871928589,0.11420871000388391,0.7537224929855804,,
ardl,inflation_lag2.L1,0.08172805512308978,0.12461764817971116,0.514359641080404,,
ardl,inflation_lag2.L2,-0.06881204372415806,0.15812638849517335,0.6649493310852905,,
ardl,inflation_lag2.L3,-0.03436045384767286,0.16076507852336097,0.8314582806400131,,
ardl,inflation_lag2.L4,-0.014531483283248575,0.14781791025398522,0.9220059385562711,,
ardl,imports_lag4.L0,-0.4846051665242326,0.2969072415011407,0.10771151197825617,,
ardl,imports_lag4.L1,0.24228649499559757,0.36385929882515455,0.50795802247177,,
ardl,imports_lag4.L2,0.25265105115865827,0.343834673141219,0.4652292455116202,,
ardl,imports_lag4.L3,0.0033471368500285203,0.2885468458837762,0.9907820108840751,,
ardl,imports_lag4.L4,-0.25448598149512913,0.29840115671085427,0.3970352767587655,,
